# amp: 1.0
# gap: 2.17
# gam: 0.05
# Used FT_model.dat for FTFile.
# phsf input follows
#tmp.dat
#0.0 0.0
#40000
#0.05 0.05
 # delta  =   -5.6923379630018767     
 # a      =        (0.51256582683988494,-1.40581850019703963E-031)
 # sigma =    8.8556312594391766     
 # omega, A(omega)
     -205.4053379630        0.0000003720        0.0000000000        1.0000000000        0.0000000000
     -205.3973351569        0.0000003720        0.0000000000        0.9999999970        0.0000000030
     -205.3893323508        0.0000003721        0.0000000000        0.9999999940        0.0000000060
     -205.3813295447        0.0000003721        0.0000000000        0.9999999911        0.0000000089
     -205.3733267386        0.0000003721        0.0000000000        0.9999999881        0.0000000119
     -205.3653239325        0.0000003722        0.0000000000        0.9999999851        0.0000000149
     -205.3573211264        0.0000003722        0.0000000000        0.9999999821        0.0000000179
     -205.3493183203        0.0000003722        0.0000000000        0.9999999791        0.0000000208
     -205.3413155142        0.0000003723        0.0000000000        0.9999999762        0.0000000238
     -205.3333127081        0.0000003723        0.0000000000        0.9999999732        0.0000000268
     -205.3253099020        0.0000003723        0.0000000000        0.9999999702        0.0000000298
     -205.3173070959        0.0000003724        0.0000000000        0.9999999672        0.0000000328
     -205.3093042898        0.0000003724        0.0000000000        0.9999999642        0.0000000357
     -205.3013014837        0.0000003724        0.0000000000        0.9999999613        0.0000000387
     -205.2932986777        0.0000003725        0.0000000000        0.9999999583        0.0000000417
     -205.2852958716        0.0000003725        0.0000000000        0.9999999553        0.0000000447
     -205.2772930655        0.0000003725        0.0000000000        0.9999999523        0.0000000477
     -205.2692902594        0.0000003726        0.0000000000        0.9999999493        0.0000000506
     -205.2612874533        0.0000003726        0.0000000000        0.9999999464        0.0000000536
     -205.2532846472        0.0000003726        0.0000000000        0.9999999434        0.0000000566
     -205.2452818411        0.0000003727        0.0000000000        0.9999999404        0.0000000596
     -205.2372790350        0.0000003727        0.0000000000        0.9999999374        0.0000000626
     -205.2292762289        0.0000003727        0.0000000000        0.9999999344        0.0000000656
